method;none;aspect ratio;resize;generic crop;center crop;vflip;hflip;overlay emoji;rotation;re-watermark;sharpen;random noise;blur;jpeg;contrast;brightness;hue;geometric;geometric (rank);photometric;photometric (rank);all;all (rank)
ssl watermarking; 100.00; 99.64; 99.74; 99.65; 99.07; 98.51; 100.00; 99.93; 99.37; 92.99; 88.72; 56.56; 94.93; 91.75; 96.21; 99.07; 97.09; 99.51; a; 95.11; a; 96.85; a
blind watermarking; 100.00; 49.98; 49.32; 59.05; 54.13; 58.05; 46.14; 100.00; 53.19; 99.09; 75.16; 53.26; 98.86; 92.77; 79.51; 63.95; 86.26; 54.68;  ; 91.21;  ; 76.74;  
trustmark watermarking; 100.00; 90.53; 100.00; 24.98; 29.13;  1.02; 100.00; 99.13; 24.42; 83.43; 99.42;  9.30; 100.00; 84.05; 70.93; 85.35;  0.23; 46.13;  ; 83.23;  ; 68.54;  
dwtDct watermarking; 89.49; 48.88; 48.07; 56.84; 50.67; 52.00; 49.49; 90.41; 49.51; 82.43; 56.60; 50.88; 49.49; 52.24; 59.58; 61.21; 49.05; 52.43;  ; 72.14;  ; 64.34;  
dwtDctSvd watermarking; 100.00; 44.76; 44.02; 55.14; 46.80; 47.63; 45.21; 99.98; 44.21; 70.50; 77.07; 67.77; 70.67; 81.55; 59.42; 62.26; 22.00; 49.20;  ; 79.27;  ; 67.37;  
rivaGan watermarking; 100.00; 99.95; 99.50; 99.99; 99.99; 41.40; 59.07; 99.98; 82.23; 99.98; 99.81; 94.56; 98.37; 96.61; 98.70; 99.30; 26.28; 95.66; b; 94.34; b; 94.86; b
stegastamp watermarking; 96.47; 78.71; 73.28; 52.20; 96.84; 56.00; 37.58; 92.49; 59.14; 90.45; 92.07; 92.98; 97.88; 96.62; 95.14; 96.26; 96.58; 67.05;  ; 93.73; c; 83.16;  
arwgan watermarking; 100.00; 99.22; 100.00; 100.00; 100.00; 49.40; 64.65; 100.00; 64.14; 92.38; 99.60; 64.37; 65.98; 67.46; 97.12; 98.77; 28.74; 94.15; c; 86.90;  ; 89.77; c
ssl + rivaGan watermarking; 100.00; 99.95; 99.68; 99.99; 99.99; 89.95; 99.53; 99.98; 94.77; 99.98; 99.81; 93.77; 98.47; 97.08; 98.70; 99.51; 89.16; 99.16;  ; 98.51;  ; 98.77;cc
ssl + arwgan watermarking; 100.00; 99.75; 100.00; 100.00; 100.00; 95.63; 100.00; 100.00; 98.16; 100.00; 100.00; 65.30; 93.84; 91.16; 98.44; 99.53; 94.60; 99.67;cc; 96.96;  ; 98.03;  
blind + rivaGan watermarking; 100.00; 99.97; 99.50; 99.99; 99.99; 58.79; 58.60; 100.00; 82.19; 100.00; 99.72; 94.28; 99.07; 97.83; 99.16; 99.28; 90.26; 96.08;  ; 98.74;  ; 97.69;  
trustmark + ssl watermarking; 100.00; 99.94; 100.00; 99.56; 98.88; 98.88; 100.00; 99.98; 99.67; 99.50; 98.86; 57.67; 99.77; 94.42; 96.26; 98.95; 97.42; 99.56;  ; 97.32;  ; 98.21;  
rivaGan + ssl watermarking; 100.00; 99.97; 99.93; 99.99; 99.99; 98.98; 100.00; 100.00; 99.23; 100.00; 99.81; 93.35; 98.72; 97.02; 98.88; 99.60; 97.02; 99.88;aa; 99.05;  ; 99.38;aa
rivaGan + blind watermarking; 100.00; 99.95; 99.35; 99.98; 99.99; 60.47; 60.56; 100.00; 82.21; 100.00; 99.95; 95.40; 99.26; 97.71; 99.30; 99.30; 89.33; 96.15;  ; 98.74;  ; 97.71;  
rivaGan + stegastamp watermarking; 100.00; 99.94; 99.07; 99.94; 99.89; 56.74; 58.23; 99.95; 81.95; 99.99; 99.74; 95.44; 99.02; 99.23; 98.93; 99.65; 96.26; 95.90;  ; 99.32;bb; 97.97;  
stegastamp + ssl watermarking; 100.00; 99.80; 99.89; 99.40; 99.56; 97.77; 100.00; 99.90; 99.21; 99.50; 94.23; 93.02; 98.70; 98.66; 98.09; 99.53; 98.60; 99.50;  ; 98.80;  ; 99.08;bb
stegastamp + trustmark watermarking; 100.00; 96.71; 100.00; 61.37; 97.79; 56.47; 100.00; 99.91; 60.21; 99.43; 99.91; 93.26; 100.00; 99.42; 97.93; 99.33; 96.16; 78.60;  ; 99.17;cc; 91.02;  
stegastamp + rivaGan watermarking; 100.00; 99.97; 99.55; 99.99; 100.00; 56.74; 59.07; 99.99; 82.65; 100.00; 99.84; 96.56; 99.21; 99.35; 99.21; 99.81; 96.07; 96.10;  ; 99.42;aa; 98.11;  
arwgan + ssl watermarking; 100.00; 99.78; 99.96; 99.98; 99.99; 98.14; 100.00; 99.97; 99.30; 99.86; 97.65; 65.12; 94.77; 91.72; 97.28; 99.28; 97.09; 99.83;bb; 96.96;  ; 98.10;  
